Original Order,Name,Title,Company,Youtube URL,Company Website,Source,Domain Notes,Confidence,LinkedIn Search URL,Employment Verified,Verification Source,Verified At
129,Geoff Stedman,Chief Marketing Officer,SDVI Corporation,https://www.youtube.com/watch?v=Ml2KS1JtbuY,https://sdvi.com/,https://sdvi.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Geoff%20Stedman%20SDVI%20Corporation,no,,
130,Meagen Eisenberg,CMO,Lacework,https://www.youtube.com/watch?v=7W8HKsRQ5zo,https://www.fortinet.com/products/forticnapp,https://www.fortinet.com/products/forticnapp,verified_from_slug,medium,https://www.linkedin.com/search/results/all/?keywords=Meagen%20Eisenberg%20Lacework,no,,
131,Rachel Thorton,Chief Marketing Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M,https://bird.com,https://bird.com,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Rachel%20Thorton%20MessageBird,no,,
132,Andrea Euenheim,Chief People Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M,https://bird.com,https://bird.com,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Andrea%20Euenheim%20MessageBird,no,,
133,Asha Thurthi,Chief Product Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M,https://bird.com,https://bird.com,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Asha%20Thurthi%20MessageBird,no,,
134,Zeynep Ozdemir,CMO,Palo Alto Networks,https://www.youtube.com/watch?v=RC-yBQH7tOA,https://www.paloaltonetworks.com,https://www.paloaltonetworks.com,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Zeynep%20Ozdemir%20Palo%20Alto%20Networks,no,,
135,Thomas Been,Chief Marketing Officer,DataStax,https://www.youtube.com/watch?v=nqG0Xfs8uA8,https://www.ibm.com/products/datastax,https://www.ibm.com/products/datastax,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Thomas%20Been%20DataStax,no,,
136,John Kreisa,CMO,Couchbase,https://www.youtube.com/watch?v=yJpCravqCJk,https://www.couchbase.com/,https://www.couchbase.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=John%20Kreisa%20Couchbase,no,,
137,Tommy McClung,Co-Founder & CEO,Releasehub,https://www.youtube.com/watch?v=CQEM0li5rmQ,https://release.com/,https://release.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Tommy%20McClung%20Releasehub,no,,
138,Matt Carter,CMO,Releasehub,https://www.youtube.com/watch?v=CQEM0li5rmQ,https://release.com/,https://release.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Matt%20Carter%20Releasehub,no,,
139,Ashley Kramer,Chief Marketing Officer & Chief Product Officer,Sisense,https://www.youtube.com/watch?v=I0ooZnypHVQ,https://www.sisense.com/,https://www.sisense.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Ashley%20Kramer%20Sisense,no,,
140,Ed Macosky,Head of Product,Boomi,https://www.youtube.com/watch?v=3-J9Jo7uZbI,https://boomi.com/,https://boomi.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Ed%20Macosky%20Boomi,no,,
141,Mandy Dhaliwal,CMO,Boomi,https://www.youtube.com/watch?v=3-J9Jo7uZbI,https://boomi.com/,https://boomi.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Mandy%20Dhaliwal%20Boomi,no,,
142,Brian Mullen,Chief Marketing Officer,InfluxData,https://www.youtube.com/watch?v=3EtoGjpoFjc,https://www.influxdata.com/,https://www.influxdata.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Brian%20Mullen%20InfluxData,no,,
143,Arwa Kaddoura,Chief Revenue Officer,InfluxData,https://www.youtube.com/watch?v=3EtoGjpoFjc,https://www.influxdata.com/,https://www.influxdata.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Arwa%20Kaddoura%20InfluxData,no,,
144,Chris Port,COO,Boomi,https://www.youtube.com/watch?v=Nilshpvyvy4,https://boomi.com/,https://boomi.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Chris%20Port%20Boomi,no,,
145,Isabelle Guis,CMO,Commvault,https://www.youtube.com/watch?v=KYC_JGx5wkM,https://www.commvault.com/,https://www.commvault.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Isabelle%20Guis%20Commvault,no,,
